date,event_type,title,link,is_pre_announced,announcement_date,honing_mat_supply,honing_mat_demand,gem_supply,gem_demand,engraving_supply,card_supply,gold_inflation,gold_sink,content_difficulty,package_volume,package_category,trajectory_pattern,target_items,confidence_score,mechanisms_applied
2026-01-14,Official Notice,알려진 이슈를 안내해 드립니다. (1/15 수정),https://lostark.game.onstove.com/News/Notice/Views/13349,True,2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,9.0,숨겨진 트리거 감지(공식 공지/알려진 문제). 보상 항목이 명시적으로 언급되지 않았습니다. 버그 수정만 가능합니다. 수급충격은 없습니다.
2026-01-14,Official Notice,1월 14일(수) 업데이트 내역 안내,https://lostark.game.onstove.com/News/Notice/Views/13350,False,2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,"없음 - 버그 수정 및 사소한 밸런스 변경만 이루어지며 새로운 레이드 출시, 장비 계승 또는 공급 이벤트는 없습니다."
2026-01-13,Official Notice,1월 13일(화) 니나브 서버 점검 완료 및 수정 사항 안내 (내용 추가),https://lostark.game.onstove.com/News/Notice/Views/13348,False,2026-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,HIDDEN TRIGGERS (서버 불안정 및 진입 비용 보상/복구)
2026-01-13,Official Notice,[정상화] 니나브 서버 일부 캐릭터의 비정상 접속 종료 현상 발생 안내 (내용 수정),https://lostark.game.onstove.com/News/Notice/Views/13347,False,2026-01-13,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,economy_shock,,9.0,HIDDEN TRIGGERS (서버 불안정 손실에 대한 보상/복구 공식 공지)
2026-01-13,Official Notice,1월 14일(수) 정기 점검 안내,https://lostark.game.onstove.com/News/Notice/Views/13346,True,2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,"일반 원칙: 콘텐츠, 레이드, 이벤트, 아이템 변경 없이 정기 점검을 실시합니다."
2026-01-12,Official Notice,1월 12일(월) 클라이언트 패치 안내,https://lostark.game.onstove.com/News/Notice/Views/13345,False,2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,일반 원칙: 경제적 요인이 없는 버그 수정 패치입니다.
2026-01-09,Official Notice,1명의 친구가 드리는 설정집 증정 이벤트,https://lostark.game.onstove.com/News/Notice/Views/13344,True,2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,일반 원칙: 게임 내 이벤트는 단기적입니다. G. 숨겨진 트리거: 이벤트에 대한 공식 공지이지만 게임 내 아이템이나 재료가 배포되지 않습니다(실물 도서 상품만 해당).
2026-01-09,Official Notice,라이브 방송 ‘퀴즈 이벤트 및 로스트아크 설정집 추가 증정 모험가’ 안내,https://lostark.game.onstove.com/News/Notice/Views/13343,True,2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,G. HIDDEN TRIGGERS (게임 내 아이템 보상이 없는 공식 공지)
2026-01-08,Official Notice,1월 8일(목) 로스트아크 임시 점검 완료 안내,https://lostark.game.onstove.com/News/Notice/Views/13342,False,2026-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,일반 원칙: 공급/수요 트리거나 새로운 콘텐츠가 포함되지 않은 버그 수정 패치입니다.
2026-01-08,Official Notice,1월 8일(목) 로스트아크 임시 점검 안내,https://lostark.game.onstove.com/News/Notice/Views/13341,True,2026-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,general_update,,10.0,일반 원칙: 경제적 요인이 없는 버그 수정 패치; 새로운 콘텐츠나 계승이 없기 때문에 레이드 난이도가 적용되지 않습니다.
